id,title,genre,year,director,rating
1,Whole gas,Drama,1976,Angela Martin,2.4
2,Couple agree,Horror,2024,Lisa Norris,6.4
3,Take act social memory,Drama,1976,Melissa Hardin,3.7
4,Office walk,Comedy,1954,Evan Taylor,2.9
5,Me at,Romance,1983,Erin Davis,6.1
6,Only eat likely,Thriller,1989,Eric Boyd,9.4
7,City eat,Comedy,1994,Denise Smith,2.8
8,Explain memory cut,Romance,2020,Matthew Peters,7.4
9,Sense,Comedy,1955,Ernest Harvey,1.6
10,Single live,Action,1988,Mark Lynch,4.7
11,Spring place back,Documentary,1986,Mark Lynch,3.1
12,Policy example,Documentary,1967,Sandra Howe,4.6
13,Go arrive third,Documentary,1955,Antonio Price,8.4
14,Capital skill interview,Comedy,2024,Daniel Jones,8.9
15,In safe,Action,1989,Bethany Olson DVM,7.3
16,Follow allow,Documentary,2001,Gregory Saunders,6.3
17,Hospital then economic,Documentary,2019,Joseph Sanders,3.3
18,Shoulder better simply,Horror,1961,Gregory Guzman,4.7
19,Market cultural sound,Thriller,1988,Tina Smith,5.9
20,Move present back,Romance,1976,Christine Johnson,3.5
21,Staff employee,Comedy,1955,Tim Richardson,4.8
22,Part young tax,Horror,2012,Tina Gray,3.6
23,Others,Action,1995,Samantha Lyons,9.3
24,Religious per take,Romance,2008,Jennifer Reed,5.2
25,Want visit step,Thriller,2018,Antonio Price,1.3
26,Art tell house,Thriller,1997,Tina Gray,9.1
27,Great green building most,Comedy,1988,Stacey Morrison,2.4
28,Around simply away,Romance,1951,Chad Dyer,6.5
29,If everything again,Romance,1965,Gregory Saunders,1.5
30,Another interest,Thriller,1983,Lisa Forbes,9.2
31,Work mother,Comedy,1967,Corey Rodriguez,2.4
32,Authority candidate movie father,Documentary,2003,Timothy Hill,3.1
33,Leg without happy thousand,Sci-Fi,1988,Michael Long PhD,7.9
34,Position describe,Horror,1988,Michael Long PhD,1.4
35,Significant such but,Sci-Fi,1954,Greg Nunez,8.3
36,How,Drama,1983,Timothy Hill,7.5
37,Indicate,Drama,2003,Lisa Norris,6.6
38,Congress win,Romance,1958,Jasmine Howell DDS,1.1
39,Impact respond,Romance,2008,Michael Holden PhD,8.8
40,Power this before,Drama,2020,Adam Jackson,3.9
41,Agree bank,Comedy,2005,Tonya Howard,5.9
42,Source,Thriller,1958,Eric Boyd,3.3
43,Personal discover,Horror,2009,Mark Lynch,1.9
44,College guy old,Romance,1969,Tara Ford,5.1
45,Usually authority myself various,Sci-Fi,2003,Lisa Forbes,6.1
46,True live,Thriller,1979,Clayton Wise,9.1
47,Fight final,Horror,1965,Katherine Berry,8.1
48,Probably foreign fly,Romance,1959,Dwayne Smith,6.8
49,Now weight,Drama,1966,Anthony Kelley,5.8
50,Common late,Documentary,2004,Deborah Cisneros,5.2
51,Kitchen,Romance,2005,Jeffrey Rivera,7.1
